E_ne [eV]	d_e [nm]	E_nhh [eV]	d_hh [nm]	E_nlh [eV]	d_lh [nm]
0.001000	71.407505	0.000205	71.465483	0.000760	71.475187
0.002000	49.464688	0.000418	49.512417	0.001513	49.513218
0.003000	39.743397	0.000636	39.781782	0.002262	39.782914
0.004000	33.948161	0.000858	33.980878	0.003007	33.981832
0.005000	29.993142	0.001083	30.022178	0.003748	30.022976
0.006000	27.073536	0.001312	27.099676	0.004487	27.100335
0.007000	24.804304	0.001544	24.828643	0.005223	24.828980
0.008000	22.975026	0.001779	22.997616	0.005956	22.997859
0.009000	21.459715	0.002017	21.480982	0.006687	21.481006
0.010000	20.177722	0.002258	20.196881	0.007416	20.196575
0.011000	19.074707	0.002502	19.089669	0.008142	19.093157
0.012000	18.112541	0.002747	18.129816	0.008866	18.130413
0.013000	17.263580	0.002995	17.280731	0.009588	17.280839
0.014000	16.507220	0.003246	16.522422	0.010309	16.522918
0.015000	15.827755	0.003499	15.842166	0.011027	15.843069
0.016000	15.212968	0.003754	15.227311	0.011743	15.227993
0.017000	14.653202	0.004012	14.665839	0.012458	14.667291
0.018000	14.140700	0.004271	14.154132	0.013170	14.154772
0.019000	13.669158	0.004533	13.681749	0.013881	13.682671
0.020000	13.233387	0.004797	13.245427	0.014590	13.246529
0.021000	12.829075	0.005063	12.840749	0.015298	12.841461
0.022000	12.452604	0.005331	12.464023	0.016003	12.464971
0.023000	12.100913	0.005601	12.112135	0.016707	12.112905
0.024000	11.771391	0.005873	11.782437	0.017410	11.782726
0.025000	11.461799	0.006147	11.472663	0.018110	11.473111
0.026000	11.170199	0.006423	11.180859	0.018809	11.181216
0.027000	10.894910	0.006701	10.905330	0.019506	10.905793
0.028000	10.634461	0.006981	10.644597	0.020202	10.644987
0.029000	10.387559	0.007263	10.397364	0.020896	10.397892
0.030000	10.153067	0.007547	10.162490	0.021589	10.163019
0.031000	9.929974	0.007832	9.939725	0.022280	9.939705
0.032000	9.717381	0.008120	9.726611	0.022969	9.727034
0.033000	9.514487	0.008409	9.523833	0.023657	9.523899
0.034000	9.320573	0.008701	9.329272	0.024343	9.329881
0.035000	9.134990	0.008994	9.143624	0.025028	9.144053
0.036000	8.957157	0.009289	8.965629	0.025711	8.966107
0.037000	8.786546	0.009585	8.795330	0.026393	8.795256
0.038000	8.622676	0.009884	8.631108	0.027073	8.631274
0.039000	8.465114	0.010185	8.473124	0.027752	8.473484
0.040000	8.313461	0.010487	8.321476	0.028429	8.321723
0.041000	8.167354	0.010791	8.175277	0.029105	8.175405
0.042000	8.026461	0.011097	8.034203	0.029779	8.034414
0.043000	7.890476	0.011405	7.897958	0.030452	7.898235
0.044000	7.759118	0.011714	7.766683	0.031123	7.766790
0.045000	7.632128	0.012025	7.639680	0.031793	7.639625
0.046000	7.509267	0.012338	7.516717	0.032461	7.516690
0.047000	7.390313	0.012653	7.397583	0.033128	7.397579
0.048000	7.275062	0.012970	7.282080	0.033793	7.282266
0.049000	7.163323	0.013288	7.170369	0.034457	7.170388
0.050000	7.054918	0.013608	7.061911	0.035119	7.061935
0.051000	6.949684	0.013930	6.956549	0.035780	6.956578
0.052000	6.847466	0.014254	6.854135	0.036440	6.854171
0.053000	6.748121	0.014579	6.754835	0.037098	6.754724
0.054000	6.651515	0.014907	6.657908	0.037754	6.658098
0.055000	6.557522	0.015236	6.563827	0.038409	6.564018
0.056000	6.466025	0.015566	6.472452	0.039063	6.472372
0.057000	6.376913	0.015899	6.383125	0.039715	6.383190
0.058000	6.290082	0.016233	6.296285	0.040365	6.296363
0.059000	6.205436	0.016569	6.211569	0.041015	6.211529
0.060000	6.122881	0.016907	6.128890	0.041662	6.128990
0.061000	6.042332	0.017247	6.048165	0.042309	6.048273
0.062000	5.963706	0.017588	5.969547	0.042954	5.969552
0.063000	5.886927	0.017931	5.892721	0.043597	5.892745
0.064000	5.811922	0.018276	5.817620	0.044239	5.817659
0.065000	5.738622	0.018623	5.744179	0.044879	5.744342
0.066000	5.666961	0.018971	5.672541	0.045518	5.672613
0.067000	5.596878	0.019321	5.602432	0.046156	5.602413
0.068000	5.528314	0.019673	5.533800	0.046792	5.533795
0.069000	5.461213	0.020027	5.466591	0.047427	5.466593
0.070000	5.395523	0.020383	5.400757	0.048060	5.400860
0.071000	5.331192	0.020740	5.336428	0.048692	5.336441
0.072000	5.268174	0.021099	5.273374	0.049322	5.273392
0.073000	5.206423	0.021460	5.211551	0.049951	5.211564
0.074000	5.145894	0.021823	5.150921	0.050578	5.151013
0.075000	5.086548	0.022187	5.091604	0.051204	5.091602
0.076000	5.028344	0.022554	5.033240	0.051829	5.033291
0.077000	4.971246	0.022922	4.976110	0.052452	4.976138
0.078000	4.915215	0.023292	4.920022	0.053073	4.920102
0.079000	4.860220	0.023664	4.864943	0.053693	4.865060
0.080000	4.806226	0.024037	4.810986	0.054312	4.810980
0.081000	4.753202	0.024413	4.757833	0.054929	4.757918
0.082000	4.701118	0.024790	4.705738	0.055545	4.705757
0.083000	4.649945	0.025169	4.654532	0.056159	4.654553
0.084000	4.599655	0.025550	4.604189	0.056772	4.604195
0.085000	4.550223	0.025933	4.554686	0.057383	4.554738
0.086000	4.501622	0.026318	4.505999	0.057993	4.506076
0.087000	4.453828	0.026704	4.458226	0.058601	4.458263
0.088000	4.406818	0.027092	4.411220	0.059208	4.411197
0.089000	4.360569	0.027483	4.364843	0.059814	4.364858
0.090000	4.315060	0.027875	4.319310	0.060417	4.319374
0.091000	4.270269	0.028269	4.274484	0.061020	4.274499
0.092000	4.226177	0.028665	4.230346	0.061621	4.230362
0.093000	4.182764	0.029063	4.186877	0.062220	4.186942
0.094000	4.140012	0.029463	4.144062	0.062818	4.144149
0.095000	4.097902	0.029864	4.101986	0.063415	4.101965
0.096000	4.056419	0.030268	4.060425	0.064010	4.060444
0.097000	4.015544	0.030674	4.019469	0.064604	4.019500
0.098000	3.975262	0.031081	3.979201	0.065196	3.979184
0.099000	3.935558	0.031491	3.939408	0.065786	3.939480
0.100000	3.896416	0.031902	3.900271	0.066375	3.900306
0.110000	3.532986	0.036130	3.536222	0.072190	3.536135
0.112000	3.465785	0.037000	3.468926	0.073330	3.469087
0.114000	3.400215	0.037880	3.403147	0.074470	3.403318
0.116000	3.336201	0.038770	3.338828	0.075600	3.339331
0.118000	3.273673	0.039660	3.276603	0.076730	3.276492
0.120000	3.212564	0.040560	3.215690	0.077850	3.215294
0.122000	3.152811	0.041480	3.155396	0.078960	3.155661
0.124000	3.094356	0.042400	3.096989	0.080070	3.097000
0.126000	3.037143	0.043330	3.039760	0.081170	3.039784
0.128000	2.981117	0.044270	2.983668	0.082260	2.983951
